# r-coordinate 	 ur 	 utheta
1.09426e+03 	 -2.50125e-06 	 -1.09906e-07
1.10114e+03 	 -2.35302e-06 	 -1.07578e-07
1.10806e+03 	 -2.21141e-06 	 -1.05296e-07
1.11502e+03 	 -2.07621e-06 	 -1.03058e-07
1.12203e+03 	 -1.94723e-06 	 -1.00859e-07
1.12908e+03 	 -1.82429e-06 	 -9.86973e-08
1.13617e+03 	 -1.70717e-06 	 -9.65694e-08
1.14331e+03 	 -1.59571e-06 	 -9.44726e-08
1.15049e+03 	 -1.48971e-06 	 -9.24043e-08
1.15772e+03 	 -1.38900e-06 	 -9.03617e-08
1.16500e+03 	 -1.29340e-06 	 -8.83424e-08
1.17232e+03 	 -1.20274e-06 	 -8.63443e-08
1.17968e+03 	 -1.11684e-06 	 -8.43652e-08
1.18709e+03 	 -1.03555e-06 	 -8.24033e-08
1.19455e+03 	 -9.58693e-07 	 -8.04568e-08
1.20206e+03 	 -8.86117e-07 	 -7.85243e-08
1.20961e+03 	 -8.17665e-07 	 -7.66046e-08
1.21721e+03 	 -7.53185e-07 	 -7.46967e-08
1.22486e+03 	 -6.92529e-07 	 -7.27999e-08
1.23256e+03 	 -6.35551e-07 	 -7.09138e-08
1.24030e+03 	 -5.82110e-07 	 -6.90382e-08
1.24809e+03 	 -5.32067e-07 	 -6.71734e-08
1.25594e+03 	 -4.85287e-07 	 -6.53197e-08
1.26383e+03 	 -4.41640e-07 	 -6.34780e-08
1.27177e+03 	 -4.00995e-07 	 -6.16494e-08
1.27976e+03 	 -3.63229e-07 	 -5.98353e-08
1.28780e+03 	 -3.28218e-07 	 -5.80376e-08
1.29589e+03 	 -2.95845e-07 	 -5.62584e-08
1.30403e+03 	 -2.65994e-07 	 -5.45002e-08
1.31223e+03 	 -2.38551e-07 	 -5.27659e-08
1.32047e+03 	 -2.13407e-07 	 -5.10586e-08
1.32877e+03 	 -1.90456e-07 	 -4.93820e-08
1.33712e+03 	 -1.69592e-07 	 -4.77398e-08
1.34552e+03 	 -1.50714e-07 	 -4.61364e-08
1.35397e+03 	 -1.33725e-07 	 -4.45763e-08
1.36248e+03 	 -1.18527e-07 	 -4.30643e-08
1.37104e+03 	 -1.05027e-07 	 -4.16058e-08
1.37965e+03 	 -9.31347e-08 	 -4.02061e-08
1.38832e+03 	 -8.27605e-08 	 -3.88710e-08
1.39705e+03 	 -7.38181e-08 	 -3.76066e-08
1.40582e+03 	 -6.62233e-08 	 -3.64189e-08
1.41466e+03 	 -5.98939e-08 	 -3.53145e-08
1.42355e+03 	 -5.47499e-08 	 -3.42999e-08
1.43249e+03 	 -5.07131e-08 	 -3.33818e-08
1.44149e+03 	 -4.77073e-08 	 -3.25670e-08
1.45055e+03 	 -4.56582e-08 	 -3.18624e-08
1.45966e+03 	 -4.44932e-08 	 -3.12748e-08
1.46883e+03 	 -4.41414e-08 	 -3.08111e-08
1.47806e+03 	 -4.45336e-08 	 -3.04780e-08
1.48735e+03 	 -4.56022e-08 	 -3.02822e-08
1.49669e+03 	 -4.72809e-08 	 -3.02299e-08
1.50610e+03 	 -4.95054e-08 	 -3.03275e-08
1.51556e+03 	 -5.22124e-08 	 -3.05808e-08
1.52508e+03 	 -5.53404e-08 	 -3.09954e-08
1.53467e+03 	 -5.88290e-08 	 -3.15762e-08
1.54431e+03 	 -6.26195e-08 	 -3.23279e-08
1.55401e+03 	 -6.66545e-08 	 -3.32545e-08
1.56378e+03 	 -7.08780e-08 	 -3.43596e-08
1.57360e+03 	 -7.52354e-08 	 -3.56457e-08
1.58349e+03 	 -7.96735e-08 	 -3.71149e-08
1.59344e+03 	 -8.41408e-08 	 -3.87685e-08
1.60345e+03 	 -8.85871e-08 	 -4.06066e-08
1.61353e+03 	 -9.29639e-08 	 -4.26287e-08
1.62366e+03 	 -9.72242e-08 	 -4.48332e-08
1.63387e+03 	 -1.01323e-07 	 -4.72174e-08
1.64413e+03 	 -1.05216e-07 	 -4.97775e-08
1.65446e+03 	 -1.08863e-07 	 -5.25087e-08
1.66486e+03 	 -1.12223e-07 	 -5.54048e-08
1.67532e+03 	 -1.15259e-07 	 -5.84585e-08
1.68584e+03 	 -1.17936e-07 	 -6.16614e-08
1.69644e+03 	 -1.20220e-07 	 -6.50036e-08
1.70710e+03 	 -1.22081e-07 	 -6.84739e-08
1.71782e+03 	 -1.23490e-07 	 -7.20601e-08
1.72861e+03 	 -1.24421e-07 	 -7.57484e-08
1.73948e+03 	 -1.24852e-07 	 -7.95239e-08
1.75041e+03 	 -1.24763e-07 	 -8.33706e-08
1.76140e+03 	 -1.24137e-07 	 -8.72710e-08
1.77247e+03 	 -1.22960e-07 	 -9.12067e-08
1.78361e+03 	 -1.21222e-07 	 -9.51581e-08
1.79481e+03 	 -1.18915e-07 	 -9.91047e-08
1.80609e+03 	 -1.16036e-07 	 -1.03025e-07
1.81744e+03 	 -1.12585e-07 	 -1.06896e-07
